Year,"
Anual average",Calzada San Juan,EFPEM/USAC Avenida Petapa,INCAP El Trebol,INSIVUMEH Zona 13,MUSAC Centro Històrico zona 1,USAC Fac. de CCQQ y Farmacia
1995,46,52,55,56,-,46,20
1996,51,52,60,63,-,54,25
1997,61,76,87,88,36,46,33
1998,39,43,49,48,26,42,23
1999,49,49,52,82,29,56,23
2000,34.5,35,39,60,19,38,16
2001,33,38,36,43,20,39,20
2002,30,39,38,38,17,25,21
2003,35,44,47,35,23,34,27
2004,34,40,45,41,23,30,22
2005,37,47,46,41,24,31,31
2006,33,43,45,41,21,28,17
2007,29,37,36,38,19,25,20
2008,31,41,32,38,21,37,19
2009,19,26,25,20,11,17,12
2010,23,34,26,27,16,21,13
2011,34,43,35,46,24,37,20
2012,32,41,35,46,21,31,19
2013,41,51,54,56,24,35,24
2014,42,50,46,63,26,41,24
2015,30,37,32,46,19,25,22
2016,40,48,47,49,28,37,29
2017,34,44,n.m.,50,27,28,22
