Año,Clorofluorocarbonos,Halones,Carbon Tetraclorado,Hidroclorofluorocarbono,Bromuro de metilo
1986,482.2,2.1,0,0,0
1989,420.6,0,0,0.1,0
1990,357.3,3.6,0,0,0
1991,357.3,3.6,9.2,0,0
1992,357.3,3.6,9.2,0,0
1993,357.3,3.6,9.2,0,0
1994,269.3,1.2,15.4,1.3,57
1995,231,0.6,13.4,1.5,242.7
1996,235.6,0,13.3,1.1,255.6
1997,207.3,0,16.1,1.1,525
1998,188.7,0,19.5,2.1,579.5
1999,191.1,0,12.3,2.2,514.6
2000,187.9,0,0,1.2,702
2001,265,0,0,3.8,786.6
2002,239.6,0,0,3.5,709.4
2003,147.1,0,0,2.2,527.7
2004,65.4,0,0,6.5,484.2
2005,57.5,0,0,6.6,522.8
2006,12.7,0,0,9.7,333.4
2007,5.9,0,0,6.2,290.8
2008,1.4,0,0,10,173
2009,0,0,0,9.4,239.9
2010,0,0,0,7.2,249
2011,0,0,0,9.9,211.1
2012,0,0,0,8.68,139.8
2013,-,-,-,9.84,240
2014,-,-,-,4.74,225.1
2015,-,-,-,4.5,0
2016,-,-,-,5.6,0
2017,-,-,-,3.36,0
2018,-,-,-,0,0
